/*********************************************
 * OPL 22.1.1.0 Data
 * Author: iefcyang
 * Creation Date: May 8, 2023 at 12:58:14 PM
 *********************************************/
S = 15; // number of SKUs

n = 12; // number of Orders

m = 12; // numver of Racks

K = 2; // number of Stations

C = 2; // number of chutes

O = [
 [0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 ]
 [1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 ]
 [0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ]
 [0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 ]
 [0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 ]
 [1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 ]
 [0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 ]
 [1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 ]
 [1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 ]
 [0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 ]
 [0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 ]
 [0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 ]
  ];
 
 
q = [
 [0 2 0 0 0 0 0 1 2 0 0 3 0 0 0 ]
 [2 0 0 1 0 5 0 0 0 0 0 0 0 0 0 ]
 [0 0 1 0 0 0 3 0 0 0 0 0 2 0 0 ]
 [0 0 0 2 0 0 0 0 0 1 0 0 0 5 0 ]
 [0 1 0 0 0 0 2 0 0 0 0 0 0 0 3 ]
 [1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 ]
 [0 0 0 1 0 0 0 0 0 0 0 2 0 0 2 ]
 [2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 ]
 [1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 ]
 [0 0 0 0 0 0 0 1 1 0 0 0 4 0 0 ]
 [0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 ]
 [0 0 0 0 1 0 0 0 0 0 0 0 0 3 1 ]
 ];

R = [
 [1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 ]
 [0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 ]
 [0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 ]
 [0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 ]
 [0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 ]
 [1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 ]
 [0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 ]
 [0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 ] 
 [1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 ]
 [0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 ]
 [1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 ]
 [0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 ]
  ];

L = 50; // number of Slots;
delta = 0.2; // portion of extra orders above the average for a station
upick = 0.5; // time for picking one unit of SKU
uset = 3.0; // setup time betwe
